36 95677 
64 124837 
40 103556 
24 65206 
24 63892 
25 69672 
29 78750 
25 65690 
59 122678 
62 123558 
73 127053 
56 120730 
44 97902 
40 92587 
87 127569 
36 94886 
69 126081 
12 33228 
41 105238 
63 123774 
38 99657 
54 119649 
78 127926 
86 128426 
41 104980 
77 127686 
32 77982 
38 91236 
42 99799 
44 96894 
54 119649 
19 53599 
7 19747 
12 31371 
18 49405 
47 110606 
21 59241 
49 115433 
35 89833 
29 78056 
17 47957 
8 22110 
55 120381 
34 89659 
31 84045 
75 127334 
56 120472 
15 42315 
9 25389 
29 78246 
57 121370 
47 113382 
8 20313 
10 28210 
55 118994 
39 98890 
34 89179 
35 91698 
14 38556 
14 37740 
26 72872 
79 128072 
54 103992 
38 79576 
46 109663 
40 101005 
42 104585 
75 127360 
56 116314 
53 115643 
16 45136 
55 120381 
33 87819 
21 57203 
47 113382 
68 126078 
33 83464 
26 64589 
15 41885 
17 46435 
30 82499 
39 101668 
12 33852 
61 123297 
62 119255 
46 104512 
6 16926 
7 19525 
9 23958 
89 128610 
58 122024 
66 124972 
21 57655 
4 11120 
41 101293 
38 94712 
25 68671 
26 69910 
23 63864 
12 33217 
