41 ,99 ,
20 ,96 ,
227 ,226 ,
285 ,84 ,
271 ,69 ,
252 ,19 ,
34 ,181 ,
203 ,204 ,
125 ,175 ,
235 ,270 ,
247 ,254 ,
171 ,153 ,
5 ,41 ,
201 ,61 ,
202 ,92 ,
281 ,201 ,
134 ,58 ,
147 ,109 ,
124 ,182 ,
102 ,136 ,
3 ,277 ,
39 ,198 ,
166 ,72 ,
217 ,249 ,
127 ,267 ,
4 ,92 ,
231 ,39 ,
234 ,231 ,
113 ,270 ,
264 ,204 ,
262 ,165 ,
91 ,120 ,
1 ,258 ,
143 ,45 ,
35 ,262 ,
181 ,271 ,
105 ,128 ,
262 ,139 ,
82 ,105 ,
285 ,104 ,
113 ,282 ,
263 ,151 ,
101 ,73 ,
87 ,201 ,
155 ,191 ,
11 ,8 ,
231 ,130 ,
84 ,13 ,
46 ,73 ,
256 ,182 ,
241 ,119 ,
47 ,97 ,
31 ,172 ,
201 ,10 ,
103 ,0 ,
142 ,45 ,
233 ,130 ,
243 ,89 ,
86 ,75 ,
218 ,153 ,
165 ,88 ,
264 ,268 ,
256 ,85 ,
121 ,76 ,
13 ,285 ,
85 ,2 ,
8 ,199 ,
190 ,273 ,
111 ,56 ,
213 ,144 ,
246 ,233 ,
201 ,51 ,
21 ,12 ,
65 ,0 ,
113 ,220 ,
108 ,264 ,
241 ,115 ,
54 ,181 ,
39 ,160 ,
107 ,220 ,
190 ,45 ,
72 ,160 ,
23 ,169 ,
43 ,23 ,
158 ,242 ,
246 ,127 ,
190 ,114 ,
4 ,200 ,
83 ,239 ,
152 ,89 ,
245 ,142 ,
53 ,277 ,
14 ,99 ,
12 ,57 ,
46 ,180 ,
284 ,256 ,
253 ,97 ,
13 ,125 ,
247 ,16 ,
140 ,43 ,
246 ,154 ,
280 ,231 ,
223 ,83 ,
160 ,273 ,
125 ,168 ,
197 ,102 ,
104 ,178 ,
65 ,271 ,
38 ,108 ,
223 ,280 ,
101 ,152 ,
40 ,32 ,
273 ,231 ,
256 ,17 ,
203 ,280 ,
161 ,70 ,
73 ,134 ,
170 ,179 ,
95 ,88 ,
170 ,238 ,
11 ,71 ,
109 ,96 ,
209 ,164 ,
12 ,215 ,
214 ,31 ,
130 ,51 ,
164 ,252 ,
238 ,260 ,
245 ,7 ,
220 ,20 ,
21 ,52 ,
23 ,268 ,
69 ,141 ,
277 ,283 ,
263 ,246 ,
113 ,63 ,
53 ,281 ,
196 ,93 ,
17 ,214 ,
52 ,178 ,
67 ,51 ,
199 ,31 ,
44 ,64 ,
123 ,253 ,
74 ,240 ,
110 ,143 ,
204 ,223 ,
74 ,223 ,
151 ,145 ,
178 ,256 ,
173 ,46 ,
72 ,279 ,
187 ,223 ,
277 ,190 ,
266 ,41 ,
10 ,266 ,
193 ,22 ,
67 ,82 ,
207 ,166 ,
41 ,188 ,
163 ,217 ,
63 ,34 ,
193 ,235 ,
140 ,39 ,
160 ,33 ,
93 ,210 ,
114 ,191 ,
221 ,33 ,
33 ,7 ,
