256,231,
162,29,
108,238,
68,65,
173,58,
24,239,
103,173,
212,125,
186,37,
174,130,
102,140,
219,2,
264,173,
232,55,
177,156,
91,6,
131,166,
152,53,
183,55,
23,156,
127,12,
169,157,
213,249,
244,98,
152,175,
183,276,
154,200,
272,172,
241,220,
234,194,
199,215,
76,253,
133,254,
247,52,
97,285,
244,208,
81,33,
42,87,
150,163,
146,83,
195,168,
160,204,
179,237,
116,53,
65,84,
127,25,
234,139,
183,64,
178,246,
222,183,
48,239,
230,198,
111,199,
249,35,
7,221,
31,145,
51,52,
271,118,
14,158,
153,31,
23,281,
191,52,
68,235,
96,160,
182,219,
143,29,
196,8,
31,8,
204,105,
235,84,
120,61,
45,222,
127,63,
153,229,
179,262,
254,169,
198,68,
85,190,
187,271,
73,154,
2,266,
74,224,
85,7,
114,77,
73,78,
147,203,
265,109,
110,47,
252,81,
82,260,
19,105,
167,258,
47,158,
228,185,
284,135,
169,198,
155,202,
85,124,
23,230,
220,171,
201,197,
283,137,
53,232,
72,88,
228,226,
67,192,
114,174,
195,276,
15,277,
174,227,
270,278,
252,224,
157,114,
104,215,
51,8,
241,271,
95,284,
128,174,
183,142,
5,123,
37,66,
238,163,
159,13,
156,264,
54,16,
68,107,
111,40,
64,40,
21,73,
195,101,
206,24,
251,40,
275,97,
242,199,
50,141,
154,237,
237,35,
7,55,
160,253,
113,242,
137,95,
177,65,
260,133,
21,95,
14,213,
262,122,
220,62,
38,86,
24,214,
193,199,
102,209,
81,184,
160,74,
163,238,
198,35,
278,86,
75,111,
119,35,
106,42,
155,25,
22,194,
282,46,
50,244,
128,69,
217,72,
111,244,
183,209,
7,204,
215,136,
165,271,
275,227,
215,217,
274,131,
198,241,
214,178,
132,24,
283,281,
28,99,
94,165,
11,228,
242,143,
19,206,
184,152,
278,6,
264,91,
67,273,
233,189,
172,201,
15,270,
72,171,
174,89,
280,240,
129,258,
238,190,
210,120,
224,147,
67,253,
190,51,
262,146,
173,74,
121,40,
99,92,
10,9,
179,274,
242,3,
215,92,
213,274,
254,98,
121,10,
221,49,
262,52,
55,107,
66,150,
277,87,
201,0,
231,261,
56,135,
61,51,
116,6,
165,248,
91,49,
242,181,
281,102,
58,200,
129,230,
149,216,
107,244,
211,255,
281,266,
0,13,
39,193,
185,67,
192,34,
179,204,
91,70,
228,276,
66,179,
205,232,
212,206,
82,45,
249,200,
277,237,
79,215,
101,127,
166,193,
96,193,
16,248,
0,194,
10,130,
104,25,
286,33,
24,262,
166,196,
99,150,
18,151,
178,169,
259,18,
239,220,
67,174,
245,85,
164,217,
129,168,
192,281,
116,164,
95,17,
136,78,
208,224,
207,122,
183,88,
56,147,
83,198,
211,11,
244,126,
198,131,
0,200,
133,119,
105,30,
191,284,
244,262,
7,228,
169,106,
90,138,
259,274,
156,112,
259,175,
84,174,
102,224,
0,47,
32,93,
145,168,
127,68,
239,226,
119,144,
40,228,
154,181,
193,177,
176,68,
196,227,
33,161,
73,88,
264,104,
149,220,
37,175,
283,274,
85,204,
79,0,
129,1,
259,186,
175,68,
273,266,
84,259,
54,275,
48,241,
229,1,
146,46,
265,282,
51,195,
162,189,
202,242,
162,114,
215,19,
240,237,
195,214,
47,37,
50,6,
41,234,
167,220,
19,103,
113,19,
66,39,
76,244,
212,243,
158,69,
64,250,
5,202,
117,45,
229,262,
171,228,
15,5,
104,229,
278,275,
181,267,
283,197,
103,198,
28,261,
107,174,
85,280,
44,187,
1,239
