Albondigas,0.486663,133,1,1,0,0,0,1,1,1,1,1,1,1,19.301,31.8351,336.089,185.174,19.4021,3.2055,25.1883,247.886,22.3259,5.04823,234.264,29.8444,0.0784544,0.262383,0.264012,1.4866,1.73049,0.238656,1.26128,10.0443,3.0421,1,
,Arroz a la cubana,0.276693,196.59999999999999,1,0,0,0,0,1,0,0,1,1,1,1,54.66,41.658,374.517,160.738,16.7411,1.76209,50.4,470.526,9.6535,9.526,74.415,116.26,0.123881,0.323081,0.689642,1.2775,10.65,0.89425,1.03498,12.918,0.96605,3,
,Arroz tres delicias,0.552102,245.59999999999999,1,0,1,1,0,1,0,0,0,1,1,1,53.7186,67.734,767.347,291.597,16.5315,2.59848,44.304,367.851,20.8099,22.4033,324.399,341.887,0.274727,0.225439,0.530178,1.08622,8.70297,0.52185,2.45706,55.593,1.55482,2,
,Bacalao con papas,0.471522,337.10000000000002,1,0,0,0,1,0,0,1,0,0,1,1,29.7593,42.0516,391.627,463.91,6.97061,3.53079,58.3048,1275.81,13.7744,14.0511,2937.55,29.834,0.266231,0.258135,0.784212,1.8,0.5357,1.8,36.1856,22.3357,10.4779,9,
,Bonito con tomate,2.49338,213.28,1,0,0,0,1,0,0,1,1,0,1,1,32.3668,23.2946,361.691,224.721,21.3987,2.38071,40.2835,498.336,33.7763,72.2197,59.2532,109.879,0.269177,0.11885,0.502029,3.243,13.9721,3.7835,3.55584,2.80326,0.964415,8,
,Canelones con bechamel,0.429054,195.90000000000001,1,0,0,0,0,1,1,1,1,1,1,1,26.0835,127.416,258.891,176.67,15.2083,1.99668,27.3594,353.368,15.642,4.70221,258.267,108.708,0.145241,0.263697,0.25473,0.799175,11.9659,0.963109,1.22279,10.1639,1.89598,1,
,Empanadillas de atun,0.188358,40.600000000000001,1,0,0,0,1,0,1,1,1,0,1,1,3.8292,14.0596,167.596,9.286,15.8427,0.279758,6.21443,14.696,4.66575,0.277177,18.603,31.6671,0.02237,0.03202,0.0803326,0.891944,0.0811768,4.71936,2.55618,6.7028,0.236335,8,
,Escalope de cerdo,0.710074,161.59999999999999,1,0,0,0,0,1,0,1,0,1,1,1,12.227,22.568,493.597,236.51,35.873,1.70817,29.01,381.27,35.0895,26.0914,175.17,16.292,0.654335,0.411821,0.465718,1.1835,0,0.14525,2.32714,6.33469,3.11915,1,
,Espaguetis a la carbonara,0.686856,267.10000000000002,0,0,0,0,0,1,1,1,1,1,1,1,10.974,218.467,636.672,259.988,49.1913,0.902556,33.135,254.05,19.8972,9.65994,750.73,147.261,0.387302,0.5002,0.356297,0.645309,0.1805,1.53038,3.39707,6.24028,3.23461,7,
,Espaguetis con tomate,0.418989,256.69999999999999,0,0,0,0,0,1,1,1,1,0,0,1,23.7122,112.495,388.261,156.06,20.6169,1.12973,30.5524,245.341,11.2103,5.63655,326.937,105.544,0.104671,0.0894746,0.220324,0.155022,11.7663,2.78742,1.29817,6.05272,0.643846,7,
,Fideua de marisco,2.90779,583.20000000000005,0,0,0,1,1,1,0,1,0,0,1,1,81.1904,316.969,687.667,1146.77,18.3317,17.0461,170.014,1289.04,69.3689,150.573,1513.13,129.42,0.233957,0.406141,0.593498,9.15939,10.646,0.764663,6.49102,297.037,4.43379,6,
,Filete de cerdo a la plancha,0.643695,140.69999999999999,0,0,0,0,0,0,0,0,0,1,1,1,5.276,15.828,390.659,224.23,27.6133,1.4509,26.38,382.51,35.613,26.38,79.14,0.264,0.68588,0.395568,0.474708,1.0552,0,0,1.1879,3.957,3.16547,1,
,Filete de pollo a la plancha,0.25056,51.200000000000003,0,0,0,0,0,0,0,0,0,1,1,1,2.592,6.384,98.464,81.4032,6.1728,0.475152,7.56,101.371,10.6555,3.12,25.343,0.096,0.02352,0.03888,0.204192,0,1.7664,0,0.504,3.312,0.384,1,
,Filete de pollo empanado,0.560334,120.90000000000001,1,0,0,0,0,1,0,1,0,1,1,1,13.3228,22.0206,283.694,171.095,16.8117,1.39767,20.053,213.932,20.6221,7.22016,192.68,15.442,0.0663818,0.108269,0.380864,0.1625,3.83216,0.11375,1.62093,8.50358,0.872134,1,
,Hamburguesa casera,0.479226,152.09999999999999,1,0,0,0,0,1,0,1,1,1,1,1,24.5992,98.6321,373.787,197.094,21.8141,3.71832,32.6818,326.77,22.7644,12.7567,362.321,30.9243,0.177655,0.260347,0.27259,1.64216,6.80273,0.0407864,1.76211,12.8491,3.64854,1,
,Huevos rellenos,0.331098,119,0,0,0,0,1,1,0,0,0,0,1,1,45.628,51.8998,172.56,163.36,12.261,1.80109,17.3158,167.3,14.2706,8.69795,189.4,170.216,0.106346,0.384546,0.194382,2.825,4.2,5.85812,2.12783,21.892,1.247,0,
,Huevos revueltos con jamon y queso,0.590836,116.5,0,0,0,0,0,1,1,1,1,1,1,1,26.3207,187.919,316.55,302.601,14.7152,1.81422,21.4736,200.627,16.3933,11.5904,476.851,156.347,0.225619,0.362799,0.15402,1.74349,6.75587,1.61049,0.80093,14.9869,1.98276,0,
,Lasana de carne con besamel,0.623459,140.90000000000001,1,0,0,0,0,1,1,1,1,1,1,1,11.8487,208.37,270.812,259.543,17.7891,2.13747,27.7872,264.373,19.7336,5.03269,186.633,81.577,0.0660814,0.23923,0.196796,1.25352,4.65626,0.476298,0.90793,7.70946,2.62703,1,
,Macarrones con tomate,0.418989,256.69999999999999,0,0,0,0,0,1,1,1,1,0,0,1,23.7122,112.495,388.261,156.06,20.6169,1.12973,30.5524,245.341,11.2103,5.63655,326.937,105.544,0.104671,0.0894746,0.220324,0.155022,11.7663,2.78742,1.29817,6.05272,0.643846,7,
,Merluza rebozada,0.513622,144.80000000000001,1,0,0,0,1,1,0,1,0,0,1,1,21.604,43.572,254.685,182.602,18.4851,1.50674,29.514,336.854,14.7422,38.7964,120.559,23.7325,0.114271,0.155032,0.20028,1.427,2.142,0.2135,2.39961,31.0765,0.60228,8,
,Muslos de pollo empanados,0.227398,88.5,1,0,0,0,0,1,0,1,0,1,1,1,11.366,16.555,276.874,111.636,19.1265,1.39227,17.157,161.783,16.6632,5.80364,106.552,109.956,0.0667188,0.181109,0.236502,0.373546,0.042,0.36355,1.55946,6.74159,0.789212,1,
